Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin,price_per_km,price_per_horsepower
47500.0,GEELY,GK-GL,6.0,49000.0,Manual,Essence,September,2023,2,China,0.9693877551020408,7916.666666666667
41000.0,IVECO,DAILY COMBI,4.0,263000.0,Manual,Diesel,September,2023,7,Italy,0.155893536121673,10250.0
17500.0,ALFA ROMEO,147,7.0,170000.0,Manual,Essence,August,2023,22,Italy,0.10294117647058823,2500.0
26000.0,ALFA ROMEO,MITO,5.0,179500.0,Manual,Essence,July,2023,12,Italy,0.14484679665738162,5200.0
34000.0,ALFA ROMEO,GIULIETTA,7.0,183000.0,Manual,Essence,March,2023,12,Italy,0.18579234972677597,4857.142857142857
47000.0,DS,DS5,9.0,230000.0,Automatic,Essence,March,2023,11,France,0.20434782608695654,5222.222222222223
57000.0,IVECO,DAILY COMBI,8.0,250000.0,Manual,Diesel,March,2023,8,Italy,0.228,7125.0
28000.0,GEELY,GK-GL,6.0,88000.0,Manual,Essence,April,2023,5,China,0.3181818181818182,4666.666666666667
70000.0,IVECO,DAILY COMBI,10.0,80000.0,Manual,Diesel,May,2023,4,Italy,0.875,7000.0
34000.0,DS,DS3,5.0,75000.0,Manual,Essence,March,2023,10,France,0.4533333333333333,6800.0
35000.0,IVECO,DAILY COMBI,8.0,320000.0,Manual,Diesel,March,2023,18,Italy,0.109375,4375.0
24000.0,ALFA ROMEO,MITO,5.0,240000.0,Manual,Essence,April,2023,12,Italy,0.1,4800.0
70000.0,IVECO,DAILY COMBI,8.0,75000.0,Manual,Diesel,February,2023,6,Italy,0.9333333333333333,8750.0
33000.0,ALFA ROMEO,MITO,6.0,186000.0,Manual,Essence,November,2022,14,Italy,0.1774193548387097,5500.0
35000.0,GEELY,GC6,6.0,49000.0,Manual,Essence,February,2024,4,China,0.7142857142857143,5833.333333333333
44000.0,DONGFENG,S50,6.0,91000.0,Manual,Essence,February,2024,5,China,0.4835164835164835,7333.333333333333
75000.0,ALFA ROMEO,GIULIETTA,7.0,30000.0,Manual,Essence,February,2024,5,Italy,2.5,10714.285714285714
28500.0,ALFA ROMEO,MITO,5.0,213000.0,Manual,Diesel,February,2024,14,Italy,0.13380281690140844,5700.0
67660.0,DONGFENG,S50,7.0,65000.0,Automatic,Essence,February,2024,3,China,1.0409230769230768,9665.714285714286
210000.0,DS,7 CROSSBACK PERFORMANCE LINE,10.0,1000.0,Automatic,Hybrid,February,2024,1,France,210.0,21000.0
64000.0,DONGFENG,AX4,7.0,31000.0,Manual,Essence,February,2024,3,China,2.064516129032258,9142.857142857143
182920.0,DONGFENG,T5 EVO,9.0,4000.0,Automatic,Essence,February,2024,1,China,45.73,20324.444444444445
46000.0,DS,3 PERFORMANCE LINE,6.0,120000.0,Automatic,Essence,February,2024,4,France,0.38333333333333336,7666.666666666667
32000.0,GEELY,GC6,6.0,56000.0,Manual,Essence,February,2024,3,China,0.5714285714285714,5333.333333333333
65000.0,DONGFENG,SX3,8.0,32000.0,Manual,Essence,February,2024,3,China,2.03125,8125.0
88000.0,BYD,SONG,9.0,25000.0,Automatic,Essence,February,2024,2,China,3.52,9777.777777777777
55000.0,ALFA ROMEO,MITO,5.0,42000.0,Manual,Essence,February,2024,5,Italy,1.3095238095238095,11000.0
64000.0,FOTON,FORLAND,10.0,35000.0,Manual,Diesel,February,2024,8,China,1.8285714285714285,6400.0
80000.0,DFSK,GLORY 580,8.0,59000.0,Manual,Essence,February,2024,2,China,1.3559322033898304,10000.0
52000.0,INFINITI,FX,20.0,190000.0,Automatic,Essence,February,2024,16,Japan,0.2736842105263158,2600.0
64500.0,DONGFENG,SX3,8.0,81000.0,Manual,Essence,February,2024,3,China,0.7962962962962963,8062.5
46000.0,VOLVO,S60 R DESIGN,9.0,170000.0,Automatic,Essence,February,2024,12,Sweden,0.27058823529411763,5111.111111111111
18900.0,DFSK,K01,6.0,69000.0,Manual,Essence,February,2024,6,China,0.27391304347826084,3150.0
38000.0,WALLYSCAR,IRIS,4.0,39000.0,Manual,Essence,February,2024,6,Tunisia,0.9743589743589743,9500.0
27500.0,ALFA ROMEO,MITO,6.0,165000.0,Manual,Essence,February,2024,12,Italy,0.16666666666666666,4583.333333333333
52000.0,ALFA ROMEO,GIULIETTA,7.0,100000.0,Manual,Essence,February,2024,6,Italy,0.52,7428.571428571428
65000.0,DONGFENG,SX3,7.0,30000.0,Manual,Essence,February,2024,3,China,2.1666666666666665,9285.714285714286
60000.0,VOLVO,V40,10.0,97000.0,Automatic,Essence,January,2024,9,Sweden,0.6185567010309279,6000.0
54000.0,DONGFENG,S50 JOYEER,6.0,100000.0,Manual,Essence,January,2024,4,China,0.54,9000.0
39000.0,GEELY,GC6,6.0,130000.0,Manual,Essence,February,2024,4,China,0.3,6500.0
38900.0,DS,3 CHROMATIQUE,5.0,68400.0,Manual,Essence,February,2024,7,France,0.5687134502923976,7780.0
33900.0,DS,3,5.0,91000.0,Manual,Essence,January,2024,6,France,0.37252747252747254,6780.0
49000.0,ALFA ROMEO,GIULIETTA QUADRIFOGLIO,9.0,145000.0,Manual,Essence,February,2024,12,Italy,0.33793103448275863,5444.444444444444
150000.0,ALFA ROMEO,STELVIO SPORT,17.0,73000.0,Automatic,Essence,February,2024,5,Italy,2.0547945205479454,8823.529411764706
43000.0,ALFA ROMEO,GIULIETTA,9.0,182000.0,Automatic,Essence,January,2024,9,Italy,0.23626373626373626,4777.777777777777
38000.0,LADA,NIVA,7.0,99000.0,Manual,Essence,March,2023,5,Russia,0.3838383838383838,5428.571428571428
39000.0,LADA,NIVA CLASSIC,7.0,25600.0,Manual,Essence,January,2024,6,Russia,1.5234375,5571.428571428572
31000.0,TATA,XENON X2,7.0,64000.0,Manual,Diesel,February,2024,7,India,0.484375,4428.571428571428
34500.0,TATA,XENON X2,7.0,70800.0,Manual,Diesel,February,2024,4,India,0.4872881355932203,4928.571428571428
36000.0,BAIC,YX KENBO S2,7.0,93000.0,Manual,Essence,February,2024,6,China,0.3870967741935484,5142.857142857143
42800.0,BAIC,YX KENBO S2,7.0,51000.0,Manual,Essence,February,2024,6,China,0.8392156862745098,6114.285714285715
38000.0,BAIC,YX KENBO S2,7.0,130000.0,Manual,Essence,February,2024,6,China,0.2923076923076923,5428.571428571428
97000.0,GREAT WALL,POER,11.0,9000.0,Manual,Diesel,February,2024,2,China,10.777777777777779,8818.181818181818
49000.0,GREAT WALL,M4,6.0,36000.0,Manual,Essence,February,2024,3,China,1.3611111111111112,8166.666666666667
110000.0,GREAT WALL,POER,11.0,9000.0,Automatic,Diesel,February,2024,2,China,12.222222222222221,10000.0
41200.0,GREAT WALL,M4,6.0,94000.0,Manual,Essence,February,2024,5,China,0.43829787234042555,6866.666666666667
38700.0,GREAT WALL,M4,6.0,88750.0,Manual,Essence,February,2024,7,China,0.436056338028169,6450.0
77000.0,HAVAL,H6,9.0,120000.0,Automatic,Essence,February,2024,4,China,0.6416666666666667,8555.555555555555
117000.0,HAVAL,H6 LUXURY,8.0,17000.0,Automatic,Essence,February,2024,2,China,6.882352941176471,14625.0
85000.0,HAVAL,H6,9.0,55000.0,Automatic,Essence,February,2024,5,China,1.5454545454545454,9444.444444444445
87000.0,HAVAL,JOLION,9.0,40000.0,Automatic,Essence,February,2024,2,China,2.175,9666.666666666666
82000.0,HAVAL,H6,9.0,62000.0,Automatic,Essence,February,2024,4,China,1.3225806451612903,9111.111111111111
80000.0,HAVAL,H6,9.0,90000.0,Automatic,Essence,February,2024,5,China,0.8888888888888888,8888.888888888889
118000.0,HAVAL,H6,8.0,42000.0,Automatic,Essence,February,2024,2,China,2.8095238095238093,14750.0
77000.0,HAVAL,H6,9.0,108000.0,Automatic,Essence,February,2024,5,China,0.7129629629629629,8555.555555555555
85000.0,HAVAL,H6,9.0,52000.0,Automatic,Essence,February,2024,4,China,1.6346153846153846,9444.444444444445
89500.0,HAVAL,JOLION,9.0,25000.0,Automatic,Essence,February,2024,3,China,3.58,9944.444444444445
