Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin
275000.0,JAGUAR,E-PACE R-DYNAMIC,12.0,30000.0,Automatic,Gasoline,February,2024,3,United Kingdom
290000.0,JAGUAR,E-PACE R-DYNAMIC S,12.0,37000.0,Automatic,Gasoline,February,2024,3,United Kingdom
269000.0,JAGUAR,F-PACE R-SPORT DYNAMIQUE,15.0,27000.0,Automatic,Gasoline,February,2024,3,United Kingdom
127000.0,JAGUAR,XE R-SPORT,12.0,95000.0,Automatic,Gasoline,February,2024,7,United Kingdom
185000.0,JAGUAR,XF,16.0,38000.0,Automatic,Gasoline,February,2024,6,United Kingdom
139000.0,JAGUAR,XF,15.0,25000.0,Automatic,Gasoline,February,2024,8,United Kingdom
149000.0,JAGUAR,XF R-SPORT,15.0,83000.0,Automatic,Gasoline,February,2024,8,United Kingdom
205000.0,JAGUAR,XJ L,16.0,34000.0,Automatic,Gasoline,January,2024,7,United Kingdom
98000.0,JAGUAR,XF 2.0,16.0,114000.0,Automatic,Gasoline,February,2024,9,United Kingdom
125000.0,JAGUAR,XF,15.0,160000.0,Automatic,Gasoline,February,2024,10,United Kingdom
185000.0,JAGUAR,F-PACE R-DYNAMIC,10.0,165000.0,Automatic,Diesel,February,2024,7,United Kingdom
160000.0,JAGUAR,XJ L,17.0,180000.0,Automatic,Gasoline,February,2024,7,United Kingdom
55000.0,SSANGYONG,REXTON,10.0,400000.0,Automatic,Diesel,November,2023,11,South Korea
55000.0,SSANGYONG,FAMILY,7.0,98000.0,Automatic,Gasoline,November,2023,8,South Korea
47000.0,SSANGYONG,ACTYON,8.0,246484.0,Manual,Diesel,November,2023,5,South Korea
70000.0,SSANGYONG,ACTYON,7.0,121536.0,Manual,Diesel,November,2023,5,South Korea
57000.0,SSANGYONG,FAMILY,7.0,130000.0,Manual,Gasoline,November,2023,6,South Korea
69000.0,SSANGYONG,FAMILY,6.0,29400.0,Manual,Gasoline,November,2023,2,South Korea
65000.0,SSANGYONG,FAMILY,6.0,50330.0,Manual,Gasoline,November,2023,3,South Korea
49900.0,SSANGYONG,ACTYON,8.0,265000.0,Automatic,Diesel,November,2023,12,South Korea
35000.0,SSANGYONG,ACTYON,8.0,80000.0,Automatic,Gasoline,November,2023,4,South Korea
65000.0,SSANGYONG,FAMILY,6.0,90000.0,Manual,Gasoline,November,2023,3,South Korea
65000.0,SSANGYONG,FAMILY,7.0,84600.0,Automatic,Gasoline,November,2023,8,South Korea
65000.0,SSANGYONG,FAMILY,8.0,85000.0,Manual,Gasoline,November,2023,5,South Korea
70000.0,SSANGYONG,FAMILY,6.0,45000.0,Manual,Gasoline,November,2023,2,South Korea
33000.0,SSANGYONG,ACTYON,7.0,306200.0,Manual,Diesel,November,2023,8,South Korea
25000.0,SSANGYONG,REXTON,8.0,190000.0,Manual,Diesel,November,2023,23,South Korea
55000.0,SSANGYONG,REXTON,7.0,130000.0,Manual,Gasoline,November,2023,6,South Korea
28000.0,SSANGYONG,KORANDO,11.0,230000.0,Automatic,Diesel,November,2023,12,South Korea
70000.0,SSANGYONG,KORANDO,6.0,53000.0,Manual,Gasoline,November,2023,4,South Korea
45000.0,SSANGYONG,REXTON,18.0,143000.0,Automatic,Gasoline,November,2023,14,South Korea
57000.0,SSANGYONG,KORANDO,7.0,80000.0,Manual,Gasoline,November,2023,7,South Korea
45000.0,SSANGYONG,ACTYON,7.0,215000.0,Automatic,Diesel,November,2023,11,South Korea
51500.0,SSANGYONG,FAMILY,7.0,107000.0,Manual,Gasoline,November,2023,7,South Korea
53000.0,SSANGYONG,TIVOLI,8.0,160000.0,Automatic,Gasoline,December,2023,7,South Korea
42000.0,SSANGYONG,TIVOLI,6.0,35000.0,Manual,Gasoline,December,2023,2,South Korea
85000.0,SSANGYONG,KORANDO,9.0,70000.0,Manual,Gasoline,December,2023,3,South Korea
55000.0,SSANGYONG,TIVOLI,7.0,130000.0,Manual,Gasoline,November,2023,6,South Korea
28000.0,SSANGYONG,KORANDO,10.0,181000.0,Automatic,Diesel,December,2023,12,South Korea
55000.0,SSANGYONG,TIVOLI,7.0,88000.0,Manual,Gasoline,November,2023,5,South Korea
34500.0,SSANGYONG,KORANDO,10.0,260000.0,Manual,Diesel,September,2023,13,South Korea
62000.0,SSANGYONG,TIVOLI,6.0,70000.0,Manual,Gasoline,October,2023,4,South Korea
53000.0,SSANGYONG,TIVOLI,6.0,170000.0,Automatic,Gasoline,October,2023,7,South Korea
43500.0,SSANGYONG,KORANDO,11.0,235000.0,Automatic,Diesel,May,2023,13,South Korea
49900.0,SSANGYONG,TIVOLI,8.0,160000.0,Automatic,Gasoline,June,2023,7,South Korea
49900.0,SSANGYONG,TIVOLI,8.0,160000.0,Automatic,Gasoline,May,2023,7,South Korea
56000.0,SSANGYONG,TIVOLI,7.0,110000.0,Automatic,Gasoline,June,2023,7,South Korea
